Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.32025381922721863,0.3543294370174408,0.37198951840400696,0.41922634840011597
1,0.3585786819458008,0.36122772097587585,0.44837966561317444,0.45975738763809204
2,0.36187028884887695,0.3625377416610718,0.4651038348674774,0.47475528717041016
3,0.3630951941013336,0.3638606071472168,0.46970996260643005,0.46547701954841614
4,0.3641386926174164,0.3648616075515747,0.4723581373691559,0.47474953532218933
5,0.36508724093437195,0.365822434425354,0.4744854271411896,0.47439080476760864
6,0.36615851521492004,0.3669683635234833,0.47469061613082886,0.47007739543914795
7,0.3670750856399536,0.3674907386302948,0.46959948539733887,0.46420565247535706
8,0.36760225892066956,0.36795929074287415,0.4654467701911926,0.466094046831131
9,0.36796796321868896,0.3681994676589966,0.46355050802230835,0.46515271067619324
10,0.3683866262435913,0.3688546121120453,0.46351248025894165,0.4554956257343292
11,0.3685954213142395,0.36887553334236145,0.4625582695007324,0.4540348947048187
12,0.3688139021396637,0.3692164123058319,0.46412160992622375,0.4625784456729889
13,0.36903971433639526,0.36966758966445923,0.4646417796611786,0.46341070532798767
14,0.3693327009677887,0.3695661723613739,0.4640391170978546,0.46129563450813293
15,0.3695915937423706,0.3701886236667633,0.4674147963523865,0.46586158871650696
16,0.36993858218193054,0.37006932497024536,0.4688475728034973,0.4661370813846588
17,0.37022721767425537,0.370764821767807,0.47054511308670044,0.47574251890182495
18,0.3705238699913025,0.3707333505153656,0.4741453528404236,0.47286689281463623
19,0.37067702412605286,0.3708652853965759,0.4760100543498993,0.476012259721756
20,0.37082555890083313,0.3710395097732544,0.4783245921134949,0.4702553451061249
21,0.37091872096061707,0.37122467160224915,0.47888997197151184,0.4773266613483429
22,0.37102508544921875,0.371502548456192,0.4807482063770294,0.48406222462654114
23,0.37107306718826294,0.371375173330307,0.4819377660751343,0.48695504665374756
24,0.37120160460472107,0.37109068036079407,0.4797903895378113,0.47707411646842957
25,0.37122777104377747,0.37127816677093506,0.4814721345901489,0.46648433804512024
26,0.37127140164375305,0.3713362216949463,0.48028185963630676,0.48292577266693115
27,0.3712940812110901,0.3715914785861969,0.47999271750450134,0.48128706216812134
28,0.3713768422603607,0.371498703956604,0.4807395935058594,0.4881058633327484
29,0.37137964367866516,0.3716275691986084,0.4818272888660431,0.4787874221801758
30,0.3713971972465515,0.37175270915031433,0.4817354381084442,0.48055240511894226
31,0.3714771866798401,0.3714916408061981,0.48066067695617676,0.48043185472488403
32,0.37150242924690247,0.37148764729499817,0.4843757152557373,0.48890942335128784
