Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.34511497616767883,0.40811237692832947,0.5279772877693176,0.530363917350769
1,0.4420611560344696,0.4572232663631439,0.5813818573951721,0.6114653944969177
2,0.4702671766281128,0.4821665585041046,0.6311300992965698,0.6537165641784668
3,0.48897263407707214,0.4952270984649658,0.6538794040679932,0.65821373462677
4,0.5045538544654846,0.510056734085083,0.6610391736030579,0.6405665278434753
5,0.5120620131492615,0.501837432384491,0.6544491052627563,0.6635718941688538
6,0.5205093622207642,0.5208972692489624,0.6898067593574524,0.67268967628479
7,0.5331658720970154,0.5374826788902283,0.7168207764625549,0.7216450572013855
8,0.5385150909423828,0.5411704182624817,0.7254069447517395,0.7350591421127319
9,0.5425174832344055,0.5463472008705139,0.7187737822532654,0.7127941846847534
10,0.5467833876609802,0.5498746633529663,0.7188928723335266,0.7310985922813416
11,0.5487034320831299,0.5447548031806946,0.7296860218048096,0.7128573060035706
12,0.5515549182891846,0.5454432964324951,0.7423510551452637,0.7285702228546143
13,0.5539507269859314,0.5565352439880371,0.7521504759788513,0.7659855484962463
14,0.55293208360672,0.5492053627967834,0.7523119449615479,0.7520520091056824
15,0.5551708340644836,0.5484808683395386,0.7566462159156799,0.7450177669525146
16,0.557309627532959,0.559779167175293,0.7592729330062866,0.7651159167289734
17,0.5571020245552063,0.5516462922096252,0.758571982383728,0.7707381248474121
18,0.5568404197692871,0.5611740350723267,0.7595369815826416,0.7655894756317139
19,0.5595783591270447,0.5563218593597412,0.7617669105529785,0.7580157518386841
20,0.5581539273262024,0.5600693225860596,0.7631229758262634,0.7670990824699402
21,0.5580313205718994,0.5580971240997314,0.7610939145088196,0.759904146194458
22,0.558850109577179,0.5614678859710693,0.7616449594497681,0.7617437839508057
23,0.559127926826477,0.5599616169929504,0.7633410692214966,0.7531425952911377
24,0.559213399887085,0.5575885772705078,0.762787938117981,0.7573900818824768
25,0.5586041808128357,0.5572831630706787,0.761298418045044,0.7569079399108887
26,0.5593761205673218,0.5570948719978333,0.7635190486907959,0.762831449508667
27,0.5576918125152588,0.5510633587837219,0.7625784277915955,0.7552749514579773
28,0.5592262148857117,0.5585217475891113,0.7630038857460022,0.7601854205131531
29,0.5600333213806152,0.5613309741020203,0.7628869414329529,0.7711026072502136
30,0.5608871579170227,0.5577788352966309,0.7648205757141113,0.7630983591079712
31,0.5586442351341248,0.5603805780410767,0.7629967331886292,0.7637642025947571
32,0.5600061416625977,0.5571501851081848,0.7639889717102051,0.756199061870575
33,0.5589506030082703,0.5548685193061829,0.7630046010017395,0.747861921787262
34,0.560683012008667,0.562484860420227,0.763300895690918,0.7647572159767151
35,0.5592321753501892,0.5572876334190369,0.7634566426277161,0.7571662068367004
36,0.5565807223320007,0.555129885673523,0.7572891116142273,0.7554041147232056
37,0.559877872467041,0.5577190518379211,0.762787938117981,0.7601222395896912
38,0.5609291195869446,0.5604413151741028,0.7639337182044983,0.7610750794410706
39,0.5596698522567749,0.5625441670417786,0.7651053667068481,0.7682986855506897
